ZIP,Territory ID,Territory Name,Region ID,Region Name,E/W ID,E/W Name,County,City,State
723,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAGUAS,PATILLAS,PR
725,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN LORENZO,CAGUAS,PR
726,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAGUAS,CAGUAS,PR
727,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAGUAS,CAGUAS,PR
728,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,PONCE,PR
729,1010201,"Miami, FL",10102,Florida,101,East Rare Region,LOIZA,CANOVANAS,PR
730,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,PONCE,PR
731,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,PONCE,PR
732,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,PONCE,PR
733,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,PONCE,PR
734,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,COTO LAUREL,PR
735,1010201,"Miami, FL",10102,Florida,101,East Rare Region,FAJARDO,CEIBA,PR
736,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAYEY,CAYEY,PR
737,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAYEY,CAYEY,PR
738,1010201,"Miami, FL",10102,Florida,101,East Rare Region,LUQUILLO,FAJARDO,PR
739,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAGUAS,CIDRA,PR
740,1010201,"Miami, FL",10102,Florida,101,East Rare Region,FAJARDO,PUERTO REAL,PR
741,1010201,"Miami, FL",10102,Florida,101,East Rare Region,HUMACAO,PUNTA SANTIAGO,PR
742,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CEIBA,ROOSEVELT ROADS,PR
744,1010201,"Miami, FL",10102,Florida,101,East Rare Region,MAGUABO,RIO BLANCO,PR
745,1010201,"Miami, FL",10102,Florida,101,East Rare Region,RIO GRANDE,RIO GRANDE,PR
751,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SALINAS,SALINAS,PR
754,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAYEY,SAN LORENZO,PR
757,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SANTA ISABEL,SANTA ISABEL,PR
765,1010201,"Miami, FL",10102,Florida,101,East Rare Region,VIEQUES,VIEQUES,PR
766,1010201,"Miami, FL",10102,Florida,101,East Rare Region,JUANA DIAZ,VILLALBA,PR
767,1010201,"Miami, FL",10102,Florida,101,East Rare Region,YABUCOA,YABUCOA,PR
769,1010201,"Miami, FL",10102,Florida,101,East Rare Region,COAMO,COAMO,PR
771,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN LORENZO,LAS PIEDRAS,PR
772,1010201,"Miami, FL",10102,Florida,101,East Rare Region,LOIZA,LOIZA,PR
773,1010201,"Miami, FL",10102,Florida,101,East Rare Region,FAJARDO,LUQUILLO,PR
775,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CULEBRA,CULEBRA,PR
777,1010201,"Miami, FL",10102,Florida,101,East Rare Region,JUNCOS,JUNCOS,PR
778,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN LORENZO,GURABO,PR
780,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,COTO LAUREL,PR
782,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,COMERIO,PR
783,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA ALTA,COROZAL,PR
784,1010201,"Miami, FL",10102,Florida,101,East Rare Region,ARROYO,GUAYAMA,PR
785,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYAMA,GUAYAMA,PR
786,1010201,"Miami, FL",10102,Florida,101,East Rare Region,AIBONITO,LA PLATA,PR
791,1010201,"Miami, FL",10102,Florida,101,East Rare Region,HUMACAO,HUMACAO,PR
792,1010201,"Miami, FL",10102,Florida,101,East Rare Region,HUMACAO,HUMACAO,PR
794,1010201,"Miami, FL",10102,Florida,101,East Rare Region,COROZAL,BARRANQUITAS,PR
795,1010201,"Miami, FL",10102,Florida,101,East Rare Region,PONCE,JUANA DIAZ,PR
801,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST THOMAS,VI
802,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST THOMAS,VI
803,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST THOMAS,VI
804,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST THOMAS,VI
805,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST THOMAS,VI
820,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,CHRISTIANSTED,VI
821,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,CHRISTIANSTED,VI
822,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,CHRISTIANSTED,VI
823,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,CHRISTIANSTED,VI
824,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,CHRISTIANSTED,VI
830,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST JOHN,VI
831,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,ST JOHN,VI
840,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,FREDERIKSTED,VI
841,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,FREDERIKSTED,VI
850,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,KINGSHILL,VI
851,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,,KINGSHILL,VI
901,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
902,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
906,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,SAN JUAN,PR
907,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
908,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
909,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CATANO,SAN JUAN,PR
910,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
911,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
912,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
913,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,CAROLINA,PR
914,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
915,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
916,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
917,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
918,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
919,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
920,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,SAN JUAN,PR
921,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,RIO PIEDRAS,PR
922,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,SAN JUAN,PR
923,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
924,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,SAN JUAN,PR
925,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
926,1010201,"Miami, FL",10102,Florida,101,East Rare Region,GUAYNABO,SAN JUAN,PR
927,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
928,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,RIO PIEDRAS,PR
929,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,RIO PIEDRAS,PR
930,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,SAN JUAN,PR
931,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,RIO PIEDRAS,PR
933,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,SAN JUAN,PR
934,1010201,"Miami, FL",10102,Florida,101,East Rare Region,BAYAMON,FORT BUCHANAN,PR
935,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
936,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,BARRIO OBRERO,PR
937,1010201,"Miami, FL",10102,Florida,101,East Rare Region,CAROLINA,SAN JUAN,PR
939,1010201,"Miami, FL",10102,Florida,101,East Rare Region,,SAN JUAN,PR
940,1010201,"Miami, FL",10102,Florida,101,East Rare Region,SAN JUAN,SAN JUAN,PR
949,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA ALTA,TOA BAJA,PR
950,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA BAJA,TOA BAJA,PR
951,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA BAJA,TOA BAJA,PR
952,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA BAJA,SABANA SECA,PR
953,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA BAJA,TOA ALTA,PR
954,1010201,"Miami, FL",10102,Florida,101,East Rare Region,TOA ALTA,TOA ALTA,PR
