,NPI,PROVIDER_ZIP,VYVGART_VOLUME_3MONTH_KOMODO,SOLIRIS_VOLUME_3MONTH_KOMODO,ULTOMIRIS_VOLUME_3MONTH_KOMODO,VYVGART_VOLUME_6MONTH_KOMODO,SOLIRIS_VOLUME_6MONTH_KOMODO,ULTOMIRIS_VOLUME_6MONTH_KOMODO,VYVGART_VOLUME_12MONTH_KOMODO,SOLIRIS_VOLUME_12MONTH_KOMODO,ULTOMIRIS_VOLUME_12MONTH_KOMODO
1148,1518565837,43537,0,0,0,0,0,0,1,0,0
1149,1124118732,03756,1,6,0,5,13,0,9,26,0
1150,1104846583,77030,9,0,0,16,1,0,28,1,0
1151,1467441352,08816,0,0,0,4,0,0,4,0,0
1152,1942497235,20176,0,5,1,0,12,3,0,21,5
1153,1285660241,77070,0,0,0,3,0,0,4,0,0
1154,1518191014,92081,1,0,0,1,0,0,1,0,0
1155,1285995431,89106,0,0,0,0,0,0,0,0,1
1156,1619035029,39564,0,0,2,1,0,3,10,0,3
1157,1245684273,33761,0,0,0,1,0,0,1,0,0
1158,1336378850,11214,6,0,0,12,0,0,12,0,0
1159,1245246990,99204,1,0,0,1,0,0,1,0,0
1160,1336253665,85004,0,0,0,0,0,2,0,0,2
1161,1801878723,33144,1,0,0,5,0,4,5,1,7
1162,1891771119,33837,0,2,0,0,9,0,0,16,0
1163,1043394810,43221,1,0,1,5,0,1,10,0,1
1164,1790736122,84604,2,0,0,7,0,0,7,0,0
1165,1386171320,10550,0,0,0,0,0,2,0,0,3
1166,1770644528,14226,0,0,1,0,0,1,2,0,1
1167,1346574308,18510,0,0,0,0,0,0,0,1,0
1168,1780974774,70006,0,0,0,0,0,0,4,0,0
1169,1346529971,13021,0,0,0,0,0,0,0,6,2
1170,1659418325,70739,0,0,0,0,0,0,0,8,0
1171,1861890030,91767,0,0,1,0,0,3,0,3,6
1172,1821338542,34239,0,4,0,0,10,0,0,20,0
1173,1386693331,32763,0,0,0,0,1,0,0,1,0
1174,1558343772,89129,0,2,0,0,3,0,0,3,0
1175,1548292527,44622,0,0,0,0,0,0,0,0,6
1176,1851325542,44718,0,0,0,8,0,0,30,0,0
1177,1265872196,55805,0,0,0,0,0,0,1,0,0
1178,1649417049,92506,0,0,0,2,0,0,2,0,0
1179,1871553511,83642,0,1,0,0,7,0,0,19,0
1180,1730423831,75035,0,0,0,0,0,0,0,1,0
1181,1194012930,10467,6,0,0,13,0,0,28,2,1
1182,1225026420,76508,0,0,0,0,0,0,0,6,0
