GROUPING,CODE,NDC11,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,
IVIG,68982-850-05,68982085005,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,68982-822-06,68982082206,PANZYGA,1,,,,
IVIG,0053-7596-20,53759620,VIVAGLOBIN,1,,,,
IVIG,0944-2850-03,944285003,CUVITRU,,,1,,
IVIG,69800-6502-1,69800650201,BIVIGAM,,,1,,
IVIG,0944-2514-02,944251402,HYQVIA,,,1,,
IVIG,13533-635-04,13533063504,GAMASTAN,1,1,,,
IVIG,68982-840-01,68982084001,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,0069-1509-02,69150902,CUTAQUIG,,,1,,
IVIG,76125-900-10,76125090010,GAMMAKED,,,1,,
IVIG,44206-418-92,44206041892,CARIMUNE NANOFILTERED,1,1,,,
IVIG,0944-2700-04,944270004,GAMMAGARD LIQUID,,,1,,
IVIG,76125-900-01,76125090001,GAMMAKED,,,1,,
IVIG,0944-2850-05,944285005,CUVITRU,,,1,,
IVIG,68982-850-03,68982085003,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,13533-645-24,13533064524,GAMUNEX,,,1,,
IVIG,0944-2658-04,944265804,GAMMAGARD S/D,,,1,,
IVIG,61953-0005-2,61953000502,FLEBOGAMMA DIF,,,1,,
IVIG,0069-1011-01,69101101,PANZYGA,1,,,,
IVIG,64208-8235-7,64208823507,GAMMAPLEX,,,1,,
IVIG,68982-822-82,68982082282,PANZYGA,1,,,,
IVIG,13533-810-05,13533081005,XEMBIFY,1,1,,,
IVIG,61953-0005-4,61953000504,FLEBOGAMMA DIF,,,1,,
IVIG,44206-438-20,44206043820,PRIVIGEN,,,1,,
IVIG,44206-452-91,44206045291,HIZENTRA,,,1,,
IVIG,44206-458-24,44206045824,HIZENTRA,,,1,,
IVIG,68982-810-86,68982081086,CUTAQUIG,,,1,,
IVIG,,944265707,GAMMAGARD,,,1,,
IVIG,61953-0004-4,61953000404,FLEBOGAMMA DIF,,,1,,
IVIG,0944-2850-06,944285006,CUVITRU,,,1,,
Biologic,25682-001-01,25682000101,SOLIRIS,,,1,,
IVIG,61953-0004-9,61953000409,FLEBOGAMMA DIF,,,1,,
IVIG,,944271605,HYQVIA,,,1,,
IVIG,68982-840-02,68982084002,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,44206-456-21,44206045621,HIZENTRA,,,1,,
IVIG,13533-810-21,13533081021,XEMBIFY,1,1,,,
IVIG,,944272303,HYQVIA,,,1,,
IVIG,,944271525,HYQVIA,,,1,,
IVIG,0944-2656-03,944265603,GAMMAGARD S/D,,,1,,
IVIG,44206-458-96,44206045896,HIZENTRA,,,1,,
IVIG,61953-0004-8,61953000408,FLEBOGAMMA DIF,,,1,,
IVIG,61953-0004-0,61953000400,FLEBOGAMMA DIF,,,1,,
IVIG,13533-800-71,13533080071,GAMUNEX-C,,,1,,
IVIG,0944-2620-03,944262003,GAMMAGARD S/D,,,1,,
IVIG,68982-820-06,68982082006,PANZYGA,1,,,,
IVIG,76125-900-25,76125090025,GAMMAKED,,,1,,
IVIG,68982-822-05,68982082205,PANZYGA,1,1,,,
IVIG,44206-454-92,44206045492,HIZENTRA,,,1,,
IVIG,0069-1011-02,69101102,PANZYGA,1,1,,,
IVIG,0944-2850-10,944285010,CUVITRU,,,1,,
IVIG,,944271820,HYQVIA,,,1,,
IVIG,67467-843-03,67467084303,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
IVIG,0944-2850-09,944285009,CUVITRU,,,1,,
IVIG,44206-439-40,44206043940,PRIVIGEN,,,1,,
IVIG,67467-843-04,67467084304,OCTAGAM IMMUNE GLOBULIN (HUMAN),,,1,,
