GROUPING,CODE,DESCRIPTION,MOLECULE,SOURCE_COMPILE,SOURCE_DM,SOURCE_UCB,SOURCE_KOMODO,,,,,,
IST,J9071,"INJECTION, CYCLOPHOSPHAMIDE, (AUROMEDICS), 5 MG",CYCLOPHOSPHAMIDE,1,,,,,,,,,
IST,80180,MYCOPHENOLATE (MYCOPHENOLIC ACID),MYCOPHENOLATE,1,,,,,,,,,
STEROIDS,C9034,"Injection, dexamethasone 9%, intraocular, 1 mcg",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,C9048,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,C9469,"Injection, triamcinolone acetonide, preservati...",TRIAMCINOLONE ACETONIDE,,,,1,,,,,,
STEROIDS,G2112,Patient receiving <=5 mg daily prednisone (or ...,PREDNISONE,,,,1,,,,,,
STEROIDS,G2113,Patient receiving >5 mg daily prednisone (or e...,PREDNISONE,,,,1,,,,,,
STEROIDS,G9467,Patient who have received or are receiving cor...,PREDNISONE,,,,1,,,,,,
STEROIDS,G9468,Patient not receiving corticosteroids greater ...,PREDNISONE,,,,1,,,,,,
STEROIDS,G9469,Patients who have received or are receiving co...,PREDNISONE,,,,1,,,,,,
STEROIDS,G9470,Patients not receiving corticosteroids greater...,PREDNISONE,,,,1,,,,,,
STEROIDS,J1095,"Injection, dexamethasone 9 percent, intraocula...",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,J1096,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,J3300,"Injection, triamcinolone acetonide, preservati...",TRIAMCINOLONE ACETONIDE,,,,1,,,,,,
STEROIDS,J3304,"Injection, triamcinolone acetonide, preservati...",TRIAMCINOLONE ACETONIDE,,,,1,,,,,,
STEROIDS,J7312,"Injection, dexamethasone, intravitreal implant...",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,J7624,"Betamethasone, inhalation solution, compounded...",BETAMETHASONE,,,,1,,,,,,
STEROIDS,J7637,"Dexamethasone, inhalation solution, compounded...",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,J7638,"Dexamethasone, inhalation solution, compounded...",DEXAMETHASONE,,,,1,,,,,,
STEROIDS,Q9993,"Injection, triamcinolone acetonide, preservati...",TRIAMCINOLONE ACETONIDE,,,,1,,,,,,
STEROIDS,J1020,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J1030,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J1040,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J1100,,DEXAMETHASONE,1,,,,,,,,,
STEROIDS,J1720,,HYDROCORTISONE,1,,,,,,,,,
STEROIDS,J2920,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J2930,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J7506,,PREDNISONE,1,,,,,,,,,
STEROIDS,J7509,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J7510,,PREDNISOLONE,1,,,,,,,,,
STEROIDS,J7512,,PREDNISONE,1,,,,,,,,,
STEROIDS,J8540,,DEXAMETHASONE,1,,,,,,,,,
STEROIDS,J0800,,CORTICOTROPIN,1,,,,,,,,,
STEROIDS,J0702,,BETAMETHASONE,1,,,,,,,,,
STEROIDS,J0704,,BETAMETHASONE,1,,,,,,,,,
STEROIDS,J1094,,DEXAMETHASONE,1,,,,,,,,,
STEROIDS,J1700,,HYDROCORTISONE,1,,,,,,,,,
STEROIDS,J1710,,HYDROCORTISONE,1,,,,,,,,,
STEROIDS,J2650,,PREDNISOLONE,1,,,,,,,,,
STEROIDS,J7509,,METHYLPREDNISOLONE,1,,,,,,,,,
STEROIDS,J7510,,PREDNISOLONE,1,,,,,,,,,
STEROIDS,J8540,,DEXAMETHASONE,1,,,,,,,,,
STEROIDS,S0173,,DEXAMETHASONE,1,,,,,,,,,
STEROIDS,J3301,,TRIAMCINOLONE ACETONIDE,1,,,,,,,,,
STEROIDS,J3302,,TRIAMCINOLONE ACETONIDE,1,,,,,,,,,
STEROIDS,J3303,,TRIAMCINOLONE ACETONIDE,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
